date,height1,height2,in_flow,out_flow
2019-10-18 19:00:00,2.27825,2.3249999999999997,135.76686666666666,444.76689166666665
2019-10-18 20:00:00,2.3245,2.3680833333333333,451.5789966666667,352.8967083333334
2019-10-18 21:00:00,2.3871166666666666,2.4236500000000003,285.71463500000004,426.186395
2019-10-18 22:00:00,2.389483333333333,2.42125,269.6913916666667,336.3893483333333
2019-10-18 23:00:00,2.3755333333333337,2.408066666666667,175.643161,320.77652333333333
2019-10-19 00:00:00,2.4162833333333333,2.4638666666666666,381.21740500000004,293.17062833333335
2019-10-19 01:00:00,2.573516666666667,2.6153,389.47754,212.98433666666668
2019-10-19 02:00:00,2.763916666666667,2.8041833333333335,385.7994516666667,194.78046333333333
2019-10-19 03:00:00,2.959166666666667,3.0000166666666668,384.96698833333335,182.328315
2019-10-19 04:00:00,3.1595,3.1999166666666667,385.24755333333337,181.84513166666665
2019-10-19 05:00:00,3.34885,3.3929166666666664,382.7021966666667,225.33613166666666
2019-10-19 06:00:00,3.48215,3.527083333333333,249.1181545,238.22406166666667
2019-10-19 07:00:00,3.4826833333333336,3.5337666666666667,159.961475,329.49341333333336
2019-10-19 08:00:00,3.3819,3.4414666666666665,159.62436333333335,525.3623233333333
2019-10-19 09:00:00,3.1611,3.2287666666666666,158.81198333333333,592.650505
2019-10-19 10:00:00,2.959283333333333,3.0239666666666665,159.991045,535.438755
2019-10-19 11:00:00,2.8759,2.92205,225.6699133333333,370.35835000000003
2019-10-19 12:00:00,2.8398833333333333,2.8866666666666663,224.06711333333334,359.383735
2019-10-19 13:00:00,2.793433333333333,2.8423666666666665,225.596665,419.72987166666667
2019-10-19 14:00:00,2.751933333333333,2.797683333333333,224.68742666666668,374.3082283333333
2019-10-19 15:00:00,2.73565,2.7784,226.14540166666666,321.1211783333334
2019-10-19 16:00:00,2.7316833333333337,2.7749,221.79212666666666,350.5643066666667
2019-10-19 17:00:00,2.7107,2.75495,233.31188,340.82448166666666
2019-10-19 18:00:00,2.7224166666666667,2.7537000000000003,246.51995333333335,355.89467833333333
2019-10-19 19:00:00,2.703133333333333,2.7258833333333334,241.753185,429.23830333333336
2019-10-19 20:00:00,2.640233333333333,2.6630166666666666,242.45839333333333,392.9004433333333
2019-10-19 21:00:00,2.630866666666667,2.6553833333333334,239.64679833333332,354.20777499999997
2019-10-19 22:00:00,2.6375333333333333,2.662316666666667,238.1730083333333,290.6380516666667
2019-10-19 23:00:00,2.6565333333333334,2.6807166666666666,239.73789166666666,318.1484566666667
2019-10-20 00:00:00,2.7140333333333335,2.73055,307.82128666666665,256.70148333333333
2019-10-20 01:00:00,2.797883333333333,2.8139499999999997,302.586345,314.673355
2019-10-20 02:00:00,2.8736333333333333,2.8910666666666667,301.104845,231.2964616666667
2019-10-20 03:00:00,3.0036,3.02285,303.4628716666667,186.00351
2019-10-20 04:00:00,3.146066666666667,3.16615,306.81928,185.89176333333336
2019-10-20 05:00:00,3.290116666666667,3.310766666666667,305.6790316666667,191.10522666666665
2019-10-20 06:00:00,3.4221,3.4433166666666666,304.16387833333334,213.723255
2019-10-20 07:00:00,3.5363166666666666,3.5561333333333334,305.89102166666663,281.144445
2019-10-20 08:00:00,3.5427166666666663,3.55435,308.01864166666667,535.2748183333333
2019-10-20 09:00:00,3.4411666666666667,3.4500333333333333,287.25749833333333,553.4706616666666
2019-10-20 10:00:00,3.3318999999999996,3.3394,179.81702333333334,436.30979
2019-10-20 11:00:00,3.240533333333333,3.246966666666667,176.66489483333334,426.64864166666666
2019-10-20 12:00:00,3.1376333333333335,3.164,92.57716666666667,315.45122166666664
2019-10-20 13:00:00,3.04305,3.0728500000000003,91.86529583333332,350.9628716666667
2019-10-20 14:00:00,2.9238500000000003,2.952733333333333,91.61640666666668,406.42004333333335
2019-10-20 15:00:00,2.7777333333333334,2.8060166666666664,95.14821950000001,364.69322
2019-10-20 16:00:00,2.7007166666666667,2.7268166666666667,103.70980983333334,294.598425
2019-10-20 17:00:00,2.6073166666666667,2.6346166666666666,103.63577483333333,431.2307866666667
2019-10-20 18:00:00,2.43795,2.4652666666666665,103.8829965,412.81822666666665
2019-10-20 19:00:00,2.3304,2.3591166666666665,104.28949250000001,388.12098333333336
2019-10-20 20:00:00,2.202233333333333,2.23025,106.1018215,370.84755666666666
2019-10-20 21:00:00,2.179416666666667,2.192,390.55857000000003,384.8898933333333
2019-10-20 22:00:00,2.2695166666666666,2.3146666666666667,488.09557,429.2142666666667
2019-10-20 23:00:00,2.3865,2.4577833333333334,441.86208,280.90578999999997
2019-10-21 00:00:00,2.5794333333333332,2.6526666666666667,439.8901133333333,234.09928
2019-10-21 01:00:00,2.778833333333333,2.8547333333333333,437.95644833333336,234.17198166666668
2019-10-21 02:00:00,2.977616666666667,3.0280666666666667,291.49334383333337,192.86264833333334
2019-10-21 03:00:00,3.073,3.0809333333333333,200.60808833333334,264.3505633333333
2019-10-21 04:00:00,3.0935833333333336,3.102433333333333,201.47312833333334,214.44675166666667
2019-10-21 05:00:00,3.1327,3.1374333333333335,212.98701,338.7742733333333
2019-10-21 06:00:00,3.1553833333333334,3.2039833333333334,483.2176283333334,363.5461433333333
2019-10-21 07:00:00,3.282366666666667,3.3437,474.851135,418.18506333333335
2019-10-21 08:00:00,3.3870333333333336,3.4256333333333333,349.1790216666667,358.5983116666667
2019-10-21 09:00:00,3.38985,3.421766666666667,230.01765833333332,420.325305
2019-10-21 10:00:00,3.31855,3.3547166666666666,229.39753833333333,403.311845
